"Model","Mean_AUC_ratio","pval_pROC","Omission_rate_at_5%","AICc","delta_AICc","W_AICc","num_parameters"
"M_0.1_F_l_Set_1",1.94618174209229,0,0,452.717046264232,13.3707164116122,1.28768161494826e-05,7
"M_0.1_F_q_Set_1",1.95955177126832,0,0,447.434049643353,8.08771979073316,0.000182565110328684,7
"M_0.1_F_p_Set_1",1.96528278615129,0,0,545.496211919924,106.149882067305,9.37640888014404e-26,15
"M_0.1_F_lq_Set_1",1.96343658124415,0,0,461.464486101302,22.1181562486818,1.67451374719987e-07,11
"M_0.1_F_lp_Set_1",1.96288716242116,0,0,544.259792010337,104.913462157717,1.77729879709771e-25,15
"M_0.1_F_qp_Set_1",1.96683323699857,0,0,509.361225595159,70.0148957425388,6.80114485136653e-18,14
"M_0.1_F_lqp_Set_1",1.96857016055689,0,0,509.552962038954,70.2066321863346,6.24730120116649e-18,14
"M_0.2_F_l_Set_1",1.94775661005549,0,0,452.865582329655,13.5192524770347,1.28822830562475e-05,7
"M_0.2_F_q_Set_1",1.96066152029757,0,0,447.486684474372,8.14035462175201,0.000191766965433907,7
"M_0.2_F_p_Set_1",1.95349333170497,0,0,468.997448229916,29.6511183772962,4.13691003011822e-09,10
"M_0.2_F_lq_Set_1",1.96469805907341,0,0,466.490015018966,27.1436851663465,1.46595146927188e-08,11
"M_0.2_F_lp_Set_1",1.95388785505763,0,0,476.322146404012,36.9758165513923,1.08672095861699e-10,11
"M_0.2_F_qp_Set_1",1.96487809399385,0,0,480.265171386308,40.9188415336881,1.53101122044276e-11,12
"M_0.2_F_lqp_Set_1",1.96524194914386,0,0,480.642671940024,41.2963420874043,1.28275157956887e-11,12
"M_0.3_F_l_Set_1",1.94850815892118,0,0,448.450128787348,9.10379893472776,0.000127001313173486,6
"M_0.3_F_q_Set_1",1.96063358670671,0,0,447.597920117825,8.25159026520481,0.000196806164862245,7
"M_0.3_F_p_Set_1",1.94445269225889,0,0,472.198370691207,32.8520408385875,9.06657794781943e-10,10
"M_0.3_F_lq_Set_1",1.96237490237787,0,0,452.188160173613,12.841830320993,2.03229777799045e-05,9
"M_0.3_F_lp_Set_1",1.94820330909229,0,0,479.368061961638,40.0217321090185,2.57872522213981e-11,11
"M_0.3_F_qp_Set_1",1.95943545845775,0,0,474.026679529466,34.680349676846,3.77397841686281e-10,11
"M_0.3_F_lqp_Set_1",1.96098369985219,0,0,473.545316417824,34.1989865652047,4.86323481216075e-10,11
"M_0.4_F_l_Set_1",1.94967887302289,0,0,448.666582113679,9.3202522610593,0.000124420516535558,6
"M_0.4_F_q_Set_1",1.96137532485121,0,0,447.764984992909,8.41865514028888,0.000197848165696576,7
"M_0.4_F_p_Set_1",1.93680241706371,0,0,460.596580961614,21.2502511089942,3.27950848507759e-07,8
"M_0.4_F_lq_Set_1",1.95934595368728,0,0,455.609440696796,16.2631108441759,4.02394852867285e-06,9
"M_0.4_F_lp_Set_1",1.94798381130911,0,0,457.739052131169,18.3927222785495,1.40668059182005e-06,8
"M_0.4_F_qp_Set_1",1.96046827721967,0,0,447.659893745453,8.31356389283286,0.000220205310703033,7
"M_0.4_F_lqp_Set_1",1.96170647498829,0,0,447.12165813711,7.77532828448994,0.000292232365774058,7
"M_0.5_F_l_Set_1",1.94883430024307,0,0,448.946520299387,9.60019044676733,0.000119028360592687,6
